date,country,title,label,views,description,attributes,assigned label
2023-02-06,Argentina,Caso_de_Nahir_Galarza,Case Nahir Galarza,3840,murder in Argentina,homicidio doloso,politics
2023-02-06,Argentina,Buenos_Aires,Buenos Aires,1699,capital and largest city of Argentina,ciudad de Argentina,science
2023-02-06,Argentina,Terremoto_de_Valdivia_de_1960,1960 Valdivia earthquake,829,9.4–9.6 magnitude earthquake in Chile,terremoto,science
2023-02-06,Argentina,Club_Atlético_Banfield,Club Atlético Banfield,718,Argentine sports club,club deportivo,sports
2023-02-06,Argentina,Google_Maps,No label found,650,Google's web mapping service (launched 2005),sitio web,science
2023-02-06,Argentina,Copa_Libertadores_de_América,Copa Libertadores,598,South American association football tournament for clubs,competición futbolística,sports
2023-02-06,Argentina,Club_Atlético_River_Plate,Club Atlético River Plate,554,Argentine professional sports club based in Buenos Aires,club deportivo,sports
2023-02-06,Argentina,Multijugador,multiplayer video game,547,video game where multiple players can play together,modo de juego,sports
2023-02-06,Argentina,Idioma_inglés,English,500,West Germanic language,lengua natural,culture
2023-02-06,Argentina,Acuario_(astrología),Aquarius,483,eleventh astrological sign in the present zodiac,signo zodiacal occidental,sports
2023-02-06,Argentina,Reforma_Universitaria_de_1918,Argentine university reform of 1918,447,general modernization of the universities tending towards democratization brought about by student activism,reforma,education
2023-02-06,Argentina,Mendoza_(Argentina),Mendoza,419,"city in Mendoza Province, Argentina",ciudad de Argentina,science
2023-02-06,Argentina,Derbi_de_Milán,Derby della Madonnina,413,"Club football rivalry match between the two clubs of the city of Milan, Inter and AC Milan",clásico (fútbol),sports
2023-02-06,Argentina,Corte_de_casación,court of cassation,410,a high instance court that exists in some judicial systems,Q3128539,politics
2023-02-06,Argentina,Cordyceps,Cordyceps,403,genus of fungi,taxón,science
2023-02-06,Argentina,Otorrinolaringología,otolaryngology,374,"surgical subspeciality concerned with ear, nose, and throat conditions",especialidad médica,science
2023-02-06,Argentina,Terremoto_de_Chile_de_2010,2010 Chile earthquake,365,magnitude 8.8 earthquake in Chile on 27 February 2010,terremoto,science
2023-02-06,Argentina,Ushuaia,Ushuaia,351,capital of Tierra del Fuego in Argentina,ciudad,sports
2023-02-06,Argentina,Los_Simpson,The Simpsons,349,American animated sitcom created by Matt Groening,serie de televisión de animación,movies
2023-02-06,Argentina,Anime,anime,337,Japanese style of animation,género cinematográfico,movies
2023-02-06,Bolivia,Himno_nacional_de_Bolivia,National Anthem of Bolivia,1921,national anthem,himno nacional,culture
2023-02-06,Bolivia,YouTube,YouTube,824,American video-sharing platform owned by Alphabet Inc.,servicio streaming de video,movies
